"","citycode","countrycode","cityname","countryname","nrecord","pm10","pm25","o3","no2","so2","co","startyear","endyear","nopollutiondata","o38h","co8h"
"4","brsb.aus8809","aus8809","Brisbane","Australia",7822,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1988,2009,FALSE,TRUE,FALSE
"5","mlbr.aus8809","aus8809","Melbourne","Australia",7822,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1988,2009,FALSE,TRUE,FALSE
"6","sydn.aus8809","aus8809","Sydney","Australia",7822,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1988,2009,FALSE,TRUE,FALSE
"22","spal.bra9711","bra9711","Sao Paulo","Brazil",5478,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1997,2011,FALSE,FALSE,TRUE
"44","clgr.can8609","can8609","Calgary","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"45","edmn.can8609","can8609","Edmonton","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"48","kngs.can8609","can8609","Kingston","Canada",8766,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"50","lndo.can8609","can8609","London Ontario","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"51","mntr.can8609","can8609","Montreal","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"52","ottw.can8609","can8609","Ottawa","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"53","regn.can8609","can8609","Regina","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"54","sdbr.can8609","can8609","Sudbury","Canada",8766,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"55","sjnb.can8609","can8609","Saint John NB","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"56","sjnf.can8609","can8609","St. John's NFL","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"57","sskt.can8609","can8609","Saskatoon","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"59","trnt.can8609","can8609","Toronto","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"60","vctr.can8609","can8609","Victoria","Canada",8766,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"61","vncv.can8609","can8609","Vancouver","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"62","wnds.can8609","can8609","Windsor","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"63","wnnp.can8609","can8609","Winnipeg","Canada",8766,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2009,FALSE,FALSE,FALSE
"64","abbt.can8611","can8611","Abbotsford","Canada",9496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
"65","clgr.can8611","can8611","Calgary","Canada",9496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
"66","edmn.can8611","can8611","Edmonton","Canada",9496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
"67","hlfx.can8611","can8611","Halifax","Canada",9496,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
"68","hmlt.can8611","can8611","Hamilton","Canada",9496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
"69","kngs.can8611","can8611","Kingston","Canada",9496,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2011,FALSE,TRUE,FALSE
"70","ktwa.can8611","can8611","Kitchener-Waterloo","Canada",9496,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1986,2011,FALSE,TRUE,FALSE
"71","lndo.can8611","can8611","London Ontario","Canada",9496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
"72","mntr.can8611","can8611","Montreal","Canada",8766,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2009,FALSE,TRUE,FALSE
"73","nigr.can8611","can8611","Niagara","Canada",9496,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1986,2011,FALSE,TRUE,FALSE
"74","okvl.can8611","can8611","Oakville","Canada",9496,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2011,FALSE,TRUE,FALSE
