"","citycode","countrycode","cityname","countryname","nrecord","pm10","pm25","o3","no2","so2","co","startyear","endyear","nopollutiondata","o38h","co8h"
"4","brsb.aus8809","aus8809","Brisbane","Australia",7822,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1988,2009,FALSE,TRUE,FALSE
"5","mlbr.aus8809","aus8809","Melbourne","Australia",7822,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1988,2009,FALSE,TRUE,FALSE
"6","sydn.aus8809","aus8809","Sydney","Australia",7822,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1988,2009,FALSE,TRUE,FALSE
"22","spal.bra9711","bra9711","Sao Paulo","Brazil",5478,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1997,2011,FALSE,FALSE,TRUE
"90","abbt.can8615","can8615","Abbotsford","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"91","clgr.can8615","can8615","Calgary","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"92","edmn.can8615","can8615","Edmonton","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"93","hlfx.can8615","can8615","Halifax","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"94","hmlt.can8615","can8615","Hamilton","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"95","kngs.can8615","can8615","Kingston","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"96","ktwa.can8615","can8615","Kitchener-Waterloo","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"97","lndo.can8615","can8615","London Ontario","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"98","mntr.can8615","can8615","Montreal","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"99","nigr.can8615","can8615","Niagara","Canada",10957,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1986,2015,FALSE,TRUE,FALSE
"100","okvl.can8615","can8615","Oakville","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"101","oshw.can8615","can8615","Oshawa","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1986,2015,FALSE,TRUE,FALSE
"102","ottw.can8615","can8615","Ottawa","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"103","regn.can8615","can8615","Regina","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"104","sarn.can8615","can8615","Sarnia","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"105","sdbr.can8615","can8615","Sudbury","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"106","sjnb.can8615","can8615","Saint John NB","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"107","sjnf.can8615","can8615","St. John's NFL","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"108","slsm.can8615","can8615","Sault Ste. Marie","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"109","sskt.can8615","can8615","Saskatoon","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"110","thnb.can8615","can8615","Thunder Bay","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"111","trnt.can8615","can8615","Toronto","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"112","vctr.can8615","can8615","Victoria","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"113","vncv.can8615","can8615","Vancouver","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"114","wnds.can8615","can8615","Windsor","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"115","wnnp.can8615","can8615","Winnipeg","Canada",10957,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1986,2015,FALSE,TRUE,FALSE
"133","ansh.chi9615","chi9615","Anshan","China",1096,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2004,2006,FALSE,FALSE,FALSE
